status	file	line	rva	nz4096	keyword	text
NOW-LIT	docs/coverage-audit-s101.md	685	0x05875000	3896	100%-zero|zero-in-every-image	> UNKNOWN**: `TryJoinQueue`'s implementation page `0x5875000` is 100 % zero in every dump we own.
NOW-LIT	docs/fk-playability-audit-s134.md	53	0x01384D50	3828	COVERAGE-BLOCKED|dark	| 9 | `fk13.c`: "ALL TEN `ALokiCharacter` exec verbs are dead" | **CORRECTED** — 8 FOLDED + 2 **COVERAGE-BLOCKED**, and `lane-d-empty-impl-census.tsv` grades both blocked ones **REAL**. Folding COVERAGE-BLOCKED into "dead" is the FK-20 error. Per-record for `ALokiPlayerCheats`: **14 REAL / 10 EMPTY / 1 dark**, and the split is not random — every progression/cooldown/teleport verb is EMPTY; the one
NOW-LIT	docs/fk-playability-audit-s134.md	53	0x05611090	3670	COVERAGE-BLOCKED|dark	| 9 | `fk13.c`: "ALL TEN `ALokiCharacter` exec verbs are dead" | **CORRECTED** — 8 FOLDED + 2 **COVERAGE-BLOCKED**, and `lane-d-empty-impl-census.tsv` grades both blocked ones **REAL**. Folding COVERAGE-BLOCKED into "dead" is the FK-20 error. Per-record for `ALokiPlayerCheats`: **14 REAL / 10 EMPTY / 1 dark**, and the split is not random — every progression/cooldown/teleport verb is EMPTY; the one
NOW-LIT	docs/fk-playability-audit-s134.md	204	0x05875000	3896	100%-zero|DARK|dark	| **FK-5d — `TryJoinQueue`'s page is 100 % zero** | **STALE.** `0x5875000` DARK→LIT (S133 party/queue sweep). The most-cited dark address in the repo (11 citations) and every citation is now false. |
NOW-LIT	docs/fk-playability-audit-s134.md	332	0x05875000	3896	100%-zero|dark	| **`0x5875000` / `TryJoinQueue 0x5875E90` is 100 % zero** — the most-cited dark address (11 citations) | `ignorance-map:401,2271`; `fk5-battle-gate-settled.md:88,420,942`; `coverage-audit:187,685`; +4 | **LIT.** FK-5's own #1 residual, and its prescribed command (`strxref.py func 0x5875E90`) is still unrun. |
NOW-LIT	docs/fk-playability-audit-s134.md	332	0x05875E90	3896	100%-zero|dark	| **`0x5875000` / `TryJoinQueue 0x5875E90` is 100 % zero** — the most-cited dark address (11 citations) | `ignorance-map:401,2271`; `fk5-battle-gate-settled.md:88,420,942`; `coverage-audit:187,685`; +4 | **LIT.** FK-5's own #1 residual, and its prescribed command (`strxref.py func 0x5875E90`) is still unrun. |
NOW-LIT	docs/fk-playability-audit-s134.md	333	0x01F8BE90	3794	unreadable-offline	| **`0x1F8CFC0` all-zero ⇒ the ping packet format is unreadable offline** `[M]` | 7 sites incl. `fk5-battle-gate-settled.md:664` | **Wrong when written.** It is a ~300-byte wrapper tail-calling `0x1F8BE90`, **LIT in every image this project has ever taken.** ⇒ *check the callee*. |
NOW-LIT	docs/fk-playability-audit-s134.md	333	0x01F8CFC0	3807	unreadable-offline	| **`0x1F8CFC0` all-zero ⇒ the ping packet format is unreadable offline** `[M]` | 7 sites incl. `fk5-battle-gate-settled.md:664` | **Wrong when written.** It is a ~300-byte wrapper tail-calling `0x1F8BE90`, **LIT in every image this project has ever taken.** ⇒ *check the callee*. |
NOW-LIT	docs/fk-playability-audit-s134.md	334	0x056CE5F0	3735	all-zero-page|zero-page	| **`TryUpdateAbilitySystem` impl `0x56CE5F0` — all-zero page, "clean negative"** | `fk3-fk4-settled.md:529`; `strxref-open-questions.md:198` | **LIT** (and LIT in `merged2`, i.e. stale since 2026-08-14). FK-30's "the bind is not reachable" partly rests on it. **Never read.** |
NOW-LIT	docs/fk-playability-audit-s134.md	335	0x05456000	3860	COVERAGE-BLOCKED	| **16 COVERAGE-BLOCKED `(class,func)` keys on page `0x5456000`** (the five `AuthPlayer*` + `GetLandingTeleportLocation`) | `fk22:4,154,613,662` | **3,860/4,096 non-zero.** FK-22's own note: the blocked/covered split there is a **page boundary, not a semantic one**. |
NOW-LIT	docs/fk-playability-audit-s134.md	353	0x01384D50	3828	dark|undecrypted	| **`ALokiPlayerCheats` impls "dark everywhere"** | `fk6-cheat-surface-settled.md:740-742` | Re-grade with the `.data` record table, which works on undecrypted pages. `CheatSetTeamEliminated` impl `0x55cf760` = **REAL**; `CheatChangeHero` impl `0x1384d50` = **REAL**. Only `SpawnBot 0x556D910` is genuinely dark. |
NOW-LIT	docs/fk-playability-audit-s134.md	353	0x0556D910	3720	dark|undecrypted	| **`ALokiPlayerCheats` impls "dark everywhere"** | `fk6-cheat-surface-settled.md:740-742` | Re-grade with the `.data` record table, which works on undecrypted pages. `CheatSetTeamEliminated` impl `0x55cf760` = **REAL**; `CheatChangeHero` impl `0x1384d50` = **REAL**. Only `SpawnBot 0x556D910` is genuinely dark. |
NOW-LIT	docs/fk-playability-audit-s134.md	353	0x055CF760	3746	dark|undecrypted	| **`ALokiPlayerCheats` impls "dark everywhere"** | `fk6-cheat-surface-settled.md:740-742` | Re-grade with the `.data` record table, which works on undecrypted pages. `CheatSetTeamEliminated` impl `0x55cf760` = **REAL**; `CheatChangeHero` impl `0x1384d50` = **REAL**. Only `SpawnBot 0x556D910` is genuinely dark. |
NOW-LIT	docs/fk-playability-audit-s134.md	365	0x0556D910	3720	DARK|dark	| **1** | Point `regrade_blocked.py` at `merged10`, replace the broken DARK control (`0x5A6AC40` or `0x556D910` both still dark), re-emit. Update `CLAUDE.md`'s canonical pointer **and `strxref.py:66`'s `merged2` default.** | Every "is this claim still true" judgement downstream |
STILL-DARK	docs/fk-playability-audit-s134.md	365	0x05A6AC40	0	DARK|dark	| **1** | Point `regrade_blocked.py` at `merged10`, replace the broken DARK control (`0x5A6AC40` or `0x556D910` both still dark), re-emit. Update `CLAUDE.md`'s canonical pointer **and `strxref.py:66`'s `merged2` default.** | Every "is this claim still true" judgement downstream |
NOW-LIT	docs/fk-playability-audit-s134.md	366	0x05456000	3860	COVERAGE-BLOCKED	| **2** | Re-grade all 100 drop-class `(class,func)` keys with the S130 `.data` record table **plus** a `merged10` disassembly of page `0x5456000`. | The 16 COVERAGE-BLOCKED keys; the mount's success tail |
NOW-LIT	docs/fk1-stub-claim-recheck.md	88	0x0534C000	3877	coverage-blocked	Page coverage `0x534C000` = **3877 / 4096 nonzero** (not coverage-blocked). Identical in both dumps.
STILL-DARK	docs/fk10-protector-identified.md	644	0x00007000	0	100%-zero	1. **`.rwx` (RVA `0x7000`, 4,096 B, `IMAGE_SCN 0xE0000060` = CODE|EXEC|READ|WRITE) is 100 % zero on
STILL-DARK	docs/fk13-exec-reach-plan.md	183	0x05422360	0	coverage-blocked	Registered thunk `0x05422360` (coverage-blocked in the dumps; §1 shows blocked ≠ absent).
NOW-LIT	docs/fk13-routeb-test-card.md	175	0x00F7EC20	3979	coverage-blocked	Criteria: real body (not the `0x00F7EC20` fold, not coverage-blocked) · few/simple params · effect
NOW-LIT	docs/fk15-handlenotif-jumptable-20260813.md	46	0x04B03000	3639	100%-zero	existing dumps (`0x4b03000`, `0x4b05000`, `0x4b06000` were 100 % zero). Pushing
NOW-LIT	docs/fk15-handlenotif-jumptable-20260813.md	46	0x04B05000	3807	100%-zero	existing dumps (`0x4b03000`, `0x4b05000`, `0x4b06000` were 100 % zero). Pushing
NOW-LIT	docs/fk15-handlenotif-jumptable-20260813.md	46	0x04B06000	3801	100%-zero	existing dumps (`0x4b03000`, `0x4b05000`, `0x4b06000` were 100 % zero). Pushing
STILL-DARK	docs/fk18-fk19-multistate-merge-settled.md	559	0x00001000	0	dark	[TREAT dark ] rva 0x1000  ABOUT TO READ ...
STILL-DARK	docs/fk20-coverage-settled.md	123	0x00001000	0	dark	★★ **U1 ("Region A", `0x1000`–`0xB89000`, 2,808 dark pages = 20.7 % of all dark) IS UE CODE, and it
NOW-LIT	docs/fk20-coverage-settled.md	123	0x00B89000	3713	dark	★★ **U1 ("Region A", `0x1000`–`0xB89000`, 2,808 dark pages = 20.7 % of all dark) IS UE CODE, and it
NOW-LIT	docs/fk20-coverage-settled.md	136	0x059128B0	3490	dark	`0x59128B0`–`0x5A7F070` — **239 of 366 pages dark (65.3 %)**, and **2,058 of its 3,760
NOW-LIT	docs/fk20-coverage-settled.md	136	0x05A7F070	3695	dark	`0x59128B0`–`0x5A7F070` — **239 of 366 pages dark (65.3 %)**, and **2,058 of its 3,760
NOW-LIT	docs/fk20-coverage-settled.md	263	0x00C00000	3899	dark	`0xC00000`–`0xFFFFFF`, i.e. inside dark **zone A**. They are universal startup-era code, not
NOW-LIT	docs/fk20-coverage-settled.md	263	0x00FFFFFF	3914	dark	`0xC00000`–`0xFFFFFF`, i.e. inside dark **zone A**. They are universal startup-era code, not
NOW-LIT	docs/fk20-coverage-settled.md	347	0x013454A0	3726	DARK	0x13454A0` and `DARK` for `TryJoinQueue 0x5875E90` — both PASS.
NOW-LIT	docs/fk20-coverage-settled.md	347	0x05875E90	3896	DARK	0x13454A0` and `DARK` for `TryJoinQueue 0x5875E90` — both PASS.
NOW-LIT	docs/fk20-coverage-settled.md	360	0x01F8CFC0	3807	all-zero|all-zero-page|unreadable-offline|zero-page	> `0x1F8CFC0` is an all-zero page, so **the packet format is unreadable offline**
NOW-LIT	docs/fk20-coverage-settled.md	406	0x056CE5F0	3735	all-zero-page|zero-page	`0x56CE5F0` (`TryUpdateAbilitySystem` impl, `fk3-fk4-settled.md:529` "all-zero page") and
STILL-DARK	docs/fk20-coverage-settled.md	446	0x05A6AC40	0	dark	could admit nothing dark. **Caught by its own positive control:** the known-dark `0x5A6AC40` came
STILL-DARK	docs/fk20-coverage-settled.md	472	0x05873280	0	dark	| **1** | **Party / queue / custom-game ACTION sweep.** Unlock all 10 queues (`AGS_QUEUE_UNLOCK`, `AGS_QUEUE_IDS`), then click every tile, FIND MATCH, READY, FILL, invites, and create/configure/start a CUSTOM GAME | **`UPartyManager` 20 dark impls at `0x5873280`–`0x5879EE0`** — including **`TryJoinQueue 0x5875E90`** — ⚠ that RVA span covers 7 pages of which only **4 are dark** | 25–60 | `ags` rest
NOW-LIT	docs/fk20-coverage-settled.md	472	0x05875E90	3896	dark	| **1** | **Party / queue / custom-game ACTION sweep.** Unlock all 10 queues (`AGS_QUEUE_UNLOCK`, `AGS_QUEUE_IDS`), then click every tile, FIND MATCH, READY, FILL, invites, and create/configure/start a CUSTOM GAME | **`UPartyManager` 20 dark impls at `0x5873280`–`0x5879EE0`** — including **`TryJoinQueue 0x5875E90`** — ⚠ that RVA span covers 7 pages of which only **4 are dark** | 25–60 | `ags` rest
NOW-LIT	docs/fk20-coverage-settled.md	472	0x05879EE0	3861	dark	| **1** | **Party / queue / custom-game ACTION sweep.** Unlock all 10 queues (`AGS_QUEUE_UNLOCK`, `AGS_QUEUE_IDS`), then click every tile, FIND MATCH, READY, FILL, invites, and create/configure/start a CUSTOM GAME | **`UPartyManager` 20 dark impls at `0x5873280`–`0x5879EE0`** — including **`TryJoinQueue 0x5875E90`** — ⚠ that RVA span covers 7 pages of which only **4 are dark** | 25–60 | `ags` rest
STILL-DARK	docs/fk20-coverage-settled.md	478	0x0563E000	0	dark	| 7 | Replay / `DemoNetDriver` (`ULokiBlueprintLibrary` has **7** dark replay impls, ⚠ all on ONE page `0x563E000`, so the *reflected-anchor* yield is **1 page** and the 100+ belongs to the non-reflected net stack — state them separately; `demorec`/`demoplay` are exec verbs and FK-13 shipped a working `ExecuteConsoleCommand` + real `UCheatManager`) | replay + the **entire net-serialization stack**
NOW-LIT	docs/fk22-dropphase-reachability.md	4	0x05456000	3860	COVERAGE-BLOCKED	> **COVERAGE-BLOCKED**, most of them on `.text` page **`0x5456000`** (the five
NOW-LIT	docs/fk22-dropphase-reachability.md	8	0x05456C80	3860	dark	> S131/S132's rideable and dismount flights lit it. `0x5456C80` likewise went dark→lit from
STILL-DARK	docs/fk22-dropphase-reachability.md	14	0x0560EE70	0	dark	> ⚠ Still dark and still genuinely blocked: `0x560EE70` (the BR phase-4 body) and
NOW-LIT	docs/fk22-dropphase-reachability.md	154	0x05456000	3860	COVERAGE-BLOCKED	- **`AuthPlayerEnterWorldAttachedToRidable` is COVERAGE-BLOCKED and the blocked/covered split is a `.text` PAGE BOUNDARY, not a semantic one.** Page `0x5456000` reads covered=0 in all 18 images and holds **7** thunks — the five `AuthPlayerEnterWorld*`/`AuthPlayerPreSpawn*`/`AuthPlayerDetach*` entry points **plus the plain getters `ContainsPlayer` and `GetLandingTeleportLocation`**. Reading "the Au
NOW-LIT	docs/fk22-dropphase-reachability.md	159	0x00F7EB60	3979	coverage-blocked	- **The 9.9× enrichment → [I].** Arithmetic reproduces exactly (Fisher one-sided p = 0.00018657; rate ratio 9.92×; drop-path denominator re-derived independently as 68 with 5 empties). **But `78/6,669 = 1.2%` (S115) excludes coverage-blocked and inlined impls while `79/10,052` does not** — same numerator over two different populations is a numerator coincidence, not a rate reproduction. And the EM
NOW-LIT	docs/fk22-dropphase-reachability.md	159	0x00F7EC20	3979	coverage-blocked	- **The 9.9× enrichment → [I].** Arithmetic reproduces exactly (Fisher one-sided p = 0.00018657; rate ratio 9.92×; drop-path denominator re-derived independently as 68 with 5 empties). **But `78/6,669 = 1.2%` (S115) excludes coverage-blocked and inlined impls while `79/10,052` does not** — same numerator over two different populations is a numerator coincidence, not a rate reproduction. And the EM
NOW-LIT	docs/fk22-dropphase-reachability.md	201	0x05456000	3860	never-decrypted	| 5′ | **Put a player on a rideable** — `ULokiRideableComponent::AuthPlayerEnterWorld{,New,AttachedToRidable}`, `AuthPlayerPreSpawnOnAddToPlane`, `AuthPlayerDetachPlayerFromRidable` | **[M] UNRESOLVABLE** — all five sit on `.text` page `0x5456000`, never demand-decrypted in any of 18 images. **Not absent; not-looked-at.** | UNKNOWN |
NOW-LIT	docs/fk22-dropphase-reachability.md	375	0x055653E0	3782	0/4096|COVERAGE-BLOCKED	| **COVERAGE negative control** `ALokiGameState::AuthSetDeathCircle` | must report separately, never as EMPTY | impl `0x55653e0`, page **0/4096 non-zero in 13/13 images** → reported `COVERAGE-BLOCKED`, ungraded | ✅ |
NOW-LIT	docs/fk22-dropphase-reachability.md	379	0x0442B4C0	3909	COVERAGE-BLOCKED|zero-page	| **coverage of the targets** | must not be zero pages | `0x5601020` decrypted **18/18** images; `0x567a160` **17/18** (sole zero = `dumps/crash-20260815-160759`); `0x442b4c0` 18/18; first-16-bytes identical in every covered image | ✅ neither target is COVERAGE-BLOCKED |
NOW-LIT	docs/fk22-dropphase-reachability.md	379	0x05601020	3834	COVERAGE-BLOCKED|zero-page	| **coverage of the targets** | must not be zero pages | `0x5601020` decrypted **18/18** images; `0x567a160` **17/18** (sole zero = `dumps/crash-20260815-160759`); `0x442b4c0` 18/18; first-16-bytes identical in every covered image | ✅ neither target is COVERAGE-BLOCKED |
NOW-LIT	docs/fk22-dropphase-reachability.md	379	0x0567A160	3700	COVERAGE-BLOCKED|zero-page	| **coverage of the targets** | must not be zero pages | `0x5601020` decrypted **18/18** images; `0x567a160` **17/18** (sole zero = `dumps/crash-20260815-160759`); `0x442b4c0` 18/18; first-16-bytes identical in every covered image | ✅ neither target is COVERAGE-BLOCKED |
NOW-LIT	docs/fk22-dropphase-reachability.md	397	0x056772CF	3254	undecrypted	- Across the decrypted `.text` of `merged2` there is **exactly ONE byte store to displacement `+0xA44`**, at `0x56772CF` (`44 88 a7 44 0a 00 00` = `mov byte ptr [rdi+0xa44], r12b`), inside a constructor init run (`mov [rdi+0x5ac],-1`, `mov [rdi+0x5f0],-1`, `mov [rdi+0x630],0xbf800000`, `r12b` = the zero register). 9 byte *loads* exist. ⚠ Bounded: 45 % of `.text` is undecrypted, and `CurrentPhase` 
NOW-LIT	docs/fk22-dropphase-reachability.md	437	0x05388300	3867	zero-page	4. ★ **The thunk→impl method has a fifth failure mode: MSVC inlines a tiny body INTO the exec thunk.** `GetCurrentPhase`'s thunk `0x5388300` contains **zero calls of any kind** — the `movzx eax,[rcx+0xA44]; mov [r8],al; ret` is inline. A "last direct call" grader returns nothing and would report `UNRESOLVED`/`ELIMINATED`. Grader A graded this row off the `.data` record alone with no independent di
STILL-DARK	docs/fk22-dropphase-reachability.md	541	0x001AD560	0	COVERAGE-BLOCKED|all-zero|all-zero-page|dark|zero-page	⚠⚠ **REFUTED — do not restate line 1's finding 9.** It claimed *"transitions 4→5, 6→7 and 7→8 have NO native caller anywhere in the image, so they can only originate in Blueprint."* That is a **universal negative asserted over a 45 %-dark image**: `merged2` `.text` is **16,638 decrypted of 30,281 pages = 54.95 %**. The verifier produced the concrete counterexample from inside the finding's own set
NOW-LIT	docs/fk22-dropphase-reachability.md	541	0x05453AB9	3906	COVERAGE-BLOCKED|all-zero|all-zero-page|dark|zero-page	⚠⚠ **REFUTED — do not restate line 1's finding 9.** It claimed *"transitions 4→5, 6→7 and 7→8 have NO native caller anywhere in the image, so they can only originate in Blueprint."* That is a **universal negative asserted over a 45 %-dark image**: `merged2` `.text` is **16,638 decrypted of 30,281 pages = 54.95 %**. The verifier produced the concrete counterexample from inside the finding's own set
NOW-LIT	docs/fk22-dropphase-reachability.md	541	0x05601020	3834	COVERAGE-BLOCKED|all-zero|all-zero-page|dark|zero-page	⚠⚠ **REFUTED — do not restate line 1's finding 9.** It claimed *"transitions 4→5, 6→7 and 7→8 have NO native caller anywhere in the image, so they can only originate in Blueprint."* That is a **universal negative asserted over a 45 %-dark image**: `merged2` `.text` is **16,638 decrypted of 30,281 pages = 54.95 %**. The verifier produced the concrete counterexample from inside the finding's own set
NOW-LIT	docs/fk22-dropphase-reachability.md	541	0x05614690	3769	COVERAGE-BLOCKED|all-zero|all-zero-page|dark|zero-page	⚠⚠ **REFUTED — do not restate line 1's finding 9.** It claimed *"transitions 4→5, 6→7 and 7→8 have NO native caller anywhere in the image, so they can only originate in Blueprint."* That is a **universal negative asserted over a 45 %-dark image**: `merged2` `.text` is **16,638 decrypted of 30,281 pages = 54.95 %**. The verifier produced the concrete counterexample from inside the finding's own set
STILL-DARK	docs/fk22-dropphase-reachability.md	594	0x05442960	0	COVERAGE-BLOCKED	- ⚠ **Line 3 mis-verdicted `ULokiPreloadComponent::OnRoundPhaseChanged` as COVERAGE-BLOCKED.** Its thunk `0x5442960` really is 32 zero bytes in 18/18 — but the **same `.data` triple** the finder used elsewhere gives impl **`0x56C58A0`**, whose bytes read `80 FA 07 / 0F 86 … / C3` = `cmp dl,7; jbe …; ret` — **a REAL body, present in 18/18.** It is gradeable today and it is real.
NOW-LIT	docs/fk22-dropphase-reachability.md	594	0x056C58A0	3629	COVERAGE-BLOCKED	- ⚠ **Line 3 mis-verdicted `ULokiPreloadComponent::OnRoundPhaseChanged` as COVERAGE-BLOCKED.** Its thunk `0x5442960` really is 32 zero bytes in 18/18 — but the **same `.data` triple** the finder used elsewhere gives impl **`0x56C58A0`**, whose bytes read `80 FA 07 / 0F 86 … / C3` = `cmp dl,7; jbe …; ret` — **a REAL body, present in 18/18.** It is gradeable today and it is real.
NOW-LIT	docs/fk22-dropphase-reachability.md	613	0x05456C80	3860	COVERAGE-BLOCKED	8. → intro → `UpdateCharacterLocations` (gated `state == 4`) → `ULokiRideableComponent::GetLandingTeleportLocation` (**COVERAGE-BLOCKED**, thunk `0x5456C80` zero in 18/18) → `SetCharacterLanding`
NOW-LIT	docs/fk22-dropphase-reachability.md	625	0x00F7EC20	3979	all-zero-page|zero-page	⚠ **REFUTED sub-claim:** *"`PlayersInside` can never be populated, so `UpdateDropPhaseHiddenActors` is dead."* `AuthAddPlayer`/`AuthRemovePlayer` really are empty folds (thunk `0x2C2CE30`, **23** stored pointers, `call 0xF7EC20`), but that is a universal negative over precisely the functions the same finding declares unreadable — `AuthPlayerEnterWorld`, `AuthPlayerEnterWorldNew`, `AuthPlayerEnterW
NOW-LIT	docs/fk22-dropphase-reachability.md	625	0x02C2CE30	3784	all-zero-page|zero-page	⚠ **REFUTED sub-claim:** *"`PlayersInside` can never be populated, so `UpdateDropPhaseHiddenActors` is dead."* `AuthAddPlayer`/`AuthRemovePlayer` really are empty folds (thunk `0x2C2CE30`, **23** stored pointers, `call 0xF7EC20`), but that is a universal negative over precisely the functions the same finding declares unreadable — `AuthPlayerEnterWorld`, `AuthPlayerEnterWorldNew`, `AuthPlayerEnterW
NOW-LIT	docs/fk22-dropphase-reachability.md	625	0x05456000	3860	all-zero-page|zero-page	⚠ **REFUTED sub-claim:** *"`PlayersInside` can never be populated, so `UpdateDropPhaseHiddenActors` is dead."* `AuthAddPlayer`/`AuthRemovePlayer` really are empty folds (thunk `0x2C2CE30`, **23** stored pointers, `call 0xF7EC20`), but that is a universal negative over precisely the functions the same finding declares unreadable — `AuthPlayerEnterWorld`, `AuthPlayerEnterWorldNew`, `AuthPlayerEnterW
NOW-LIT	docs/fk22-dropphase-reachability.md	685	0x05614690	3769	COVERAGE-BLOCKED|dark|zero-page	2. **★★ A universal negative asserted over a 45 %-dark image.** *"Transitions 4→5, 6→7, 7→8 have NO native caller anywhere"* — from an `E8`/`E9` sweep of a `.text` that is **16,638 of 30,281 pages decrypted (54.95 %)**. The brief's own instruction ("treat 8 as an upper bound") was inverted into an exhaustive lower bound. Demonstrated concretely: `0x5614690`, itself one of the seven callers, is a *
